CustomerID,Age,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,44,Male,3,37705.099604551804,3,1,0,87065.58344414127,1
2,38,Male,3,65074.57866945553,1,1,0,82522.88786310103,1
3,46,Male,4,44652.74162642449,3,1,0,111511.10262234602,1
4,55,Male,2,33465.28917052032,2,1,0,120430.91635242471,0
5,37,Female,3,57098.75205904216,3,1,0,74174.60519491578,1
6,37,Male,4,58128.50199875337,1,1,0,101893.88363667703,1
7,55,Male,3,65732.9190329817,1,1,1,131175.3126810043,1
8,47,Female,3,77265.3310214774,2,1,0,158870.78233433515,1
9,35,Male,6,74629.48978200508,2,1,0,139727.4616970225,1
10,45,Female,1,61106.618580003844,2,1,0,124559.8177520571,1
11,35,Female,4,48316.208811123666,1,0,1,82447.18832176279,1
12,35,Male,1,58615.982065371994,1,0,0,112992.49454445235,1
13,42,Female,1,41803.64389352634,1,1,1,137705.66531691892,1
14,20,Female,4,67820.02071593465,1,1,0,68208.06704762593,1
15,22,Male,3,40067.01098035468,1,1,0,59936.97454177335,1
16,34,Male,1,34852.7863319253,4,1,0,108926.40005650886,1
17,29,Female,2,69006.5141147788,1,0,0,40082.50106898594,1
18,43,Female,2,21176.627654116823,1,1,1,82399.48021692774,0
19,30,Female,2,38045.083742271716,2,1,0,76108.95390577338,1
20,25,Male,3,62010.256887276846,2,0,0,116304.66507228345,1
21,54,Female,4,48274.81320274461,2,1,0,86555.0563665167,1
22,37,Male,7,47447.72472714771,2,0,1,103224.12231170772,1
23,40,Female,2,28989.12980241791,1,0,0,77177.5278108108,1
24,25,Female,7,30584.91358548491,2,1,0,110614.40756323194,0
25,34,Female,0,46352.91622157052,1,0,0,97591.06672179868,1
26,41,Female,3,19959.69714898004,1,1,0,56556.566921661215,1
27,28,Female,6,49812.199025979215,4,1,0,110337.22735090104,1
28,43,Female,2,72727.06789939532,2,0,1,112956.01289514887,1
29,33,Male,1,70962.51526987043,2,1,1,132794.91703047126,1
30,37,Female,2,60666.34031770674,1,0,0,127879.8364840667,1
31,33,Female,6,53832.499196834564,1,1,0,136609.79195148253,1
32,58,Male,3,48349.0538560362,2,1,0,87918.55662352833,1
33,39,Male,2,51128.83156029776,1,1,0,118348.35982689151,1
34,29,Male,6,33015.82848125417,3,0,1,50058.43088232722,1
35,48,Female,3,38694.79933804739,1,0,1,29212.39096201687,1
36,27,Female,1,19887.17412652465,2,0,0,63994.3609321776,1
37,42,Male,3,66840.76890978636,2,1,1,24931.161166211517,0
38,20,Female,4,47922.45345338549,3,0,1,114288.90416273041,0
39,26,Male,5,86087.82375007446,1,1,0,108806.34884252466,1
40,41,Female,5,39349.74303657874,1,1,1,39745.18989752412,1
41,47,Male,1,49845.876468463495,3,0,0,154785.1929766726,1
42,41,Male,2,62734.955705106964,1,1,0,104842.43177427197,1
43,38,Male,7,57567.07872638148,2,1,1,46952.675959503365,1
44,36,Male,3,48533.03957845865,1,1,0,148303.4226707134,1
45,25,Female,3,81967.62185102684,3,1,0,71405.71908990685,1
46,32,Female,2,33265.12015059158,3,0,1,113989.14877891561,0
47,35,Male,2,61450.990859968915,2,1,0,113486.93860718315,1
48,50,Male,2,42162.289429682496,1,1,0,50215.283042333926,1
49,43,Male,4,47506.428485645345,1,0,1,153720.43771521622,1
50,22,Female,6,54652.12339297679,1,1,0,201146.18694101105,1
51,43,Female,10,47734.1571371614,1,1,0,59237.53910035102,1
52,36,Male,3,47008.80381879145,1,1,0,115823.0092302334,1
53,33,Female,3,22361.3715519215,1,1,1,112165.74417261449,0
54,46,Male,2,66115.13859705192,1,1,0,109761.87627636064,1
55,50,Female,2,22208.08305617965,1,0,0,179034.31841786832,1
56,49,Female,6,75714.08735075372,2,0,1,109010.61857950654,1
57,31,Female,1,48106.63927984208,1,1,0,120062.07755508738,1
58,36,Female,4,66649.39437985428,4,0,0,142677.31492079503,1
59,43,Female,6,6351.570358435994,1,0,0,173177.93234020914,1
60,49,Female,2,49316.826313028076,1,0,0,73831.14522372361,1
61,35,Female,3,49763.19394900184,1,1,1,92959.24112608339,1
62,38,Male,1,34112.06288341247,2,0,0,114208.88198243108,1
63,28,Male,5,65486.56562200731,1,0,0,69202.81016457146,1
64,28,Male,1,38825.197899442195,1,1,0,142772.07110909006,1
65,48,Female,3,34196.929181888714,1,1,1,104892.80669258947,1
66,53,Male,3,43524.67329010956,2,0,0,58476.34368296419,1
67,39,Male,4,67189.75345725284,1,1,0,95945.20460796826,1
68,50,Male,2,54888.45221583189,1,0,0,59430.49302145264,1
69,43,Male,2,57016.19258908466,3,1,0,87627.7264048562,1
70,33,Female,4,63613.267545423776,1,0,0,20000.0,1
71,43,Female,0,46141.933555175405,1,0,0,134870.15157448163,1
72,55,Female,3,68633.45497962355,1,1,1,81279.95537505884,1
73,39,Female,3,56763.97585717968,1,1,1,62705.503648208774,1
74,55,Female,7,65012.585341800535,1,1,0,94060.08679225147,1
75,18,Male,3,36005.60449143937,1,1,0,148298.76785815516,1
76,48,Male,2,51733.048165569395,2,0,1,125287.59031533948,0
77,40,Female,2,67053.12639660363,1,1,0,175678.33351701248,1
78,37,Male,1,82862.5428920381,3,0,0,46069.61466354047,1
79,40,Male,1,68914.0816712511,1,1,1,44427.002211986975,1
80,20,Female,3,69749.493181583,3,0,0,89992.31771771383,1
81,37,Male,2,21974.16436935666,1,1,0,164679.95030902815,1
82,43,Male,3,44660.37142309198,2,1,0,131171.66341094347,1
83,54,Male,6,61179.88890949993,3,1,0,133449.63154490327,1
84,34,Male,2,25350.21564639865,2,1,0,59991.01427341088,1
85,31,Male,3,57979.56394578489,3,0,0,85054.89101598176,1
86,34,Male,2,43436.315972160424,1,0,1,85287.57115215837,1
87,49,Female,3,44406.067643627175,1,1,1,115661.29144506823,1
88,43,Female,1,51299.87507328713,2,1,0,131317.24322852227,1
89,34,Male,1,57058.08256825167,1,1,0,99422.39049740742,1
90,45,Female,1,64613.095473423586,2,0,1,56150.237964456384,1
91,40,Male,1,28454.186716030952,1,0,0,70999.92477326293,1
92,49,Male,3,68898.13788584851,2,1,1,125036.1352299489,0
93,32,Male,6,62656.57740639969,3,1,0,155410.06147961924,0
94,36,Female,5,45015.65374325342,1,1,0,118667.09834123864,1
95,36,Male,3,69050.12555709088,1,1,1,82206.53045608388,1
96,25,Female,3,16634.76397581977,2,0,0,75183.53430378801,1
97,42,Female,4,53300.84747571742,2,0,0,87890.36117221894,1
98,42,Female,2,38861.952340029595,1,1,0,159720.6783545916,1
99,40,Female,3,29100.10282200487,1,1,0,77167.30572944619,1
100,37,Female,5,20317.80038081578,2,1,0,65300.379030670236,1
101,25,Male,6,62632.08570559715,1,1,0,82458.08751623788,1
102,35,Male,1,60228.69129980288,2,1,0,104671.49712172792,1
103,36,Female,4,73973.66609435857,2,1,0,85208.93702616334,0
104,31,Female,3,63304.348552408956,1,1,0,82510.04742972623,1
105,38,Male,4,44123.54249663887,2,1,0,118244.68160629363,0
106,44,Male,2,104265.33690938592,1,1,0,46569.34492035713,1
107,58,Male,5,70297.75170171942,1,1,0,81291.05549267292,1
108,41,Male,1,26988.328857240554,1,1,0,94182.46350900781,1
109,42,Male,4,47409.780157549125,1,0,0,115971.17935398807,1
110,39,Female,5,54535.1047117092,2,0,0,74879.98472745987,1
111,20,Female,1,44739.37231928517,2,1,1,48993.33978647009,0
112,39,Male,1,91070.95437085484,1,1,1,119565.36172402378,0
113,40,Female,4,44203.554797526886,3,0,0,198001.46644166106,1
114,64,Female,1,42270.55192733036,1,0,1,93896.81478048068,1
115,38,Male,4,64823.93932857225,2,0,0,115882.52913856169,0
116,43,Male,3,52408.19755692528,1,0,0,95218.97354274143,1
117,39,Female,4,45557.57325149324,2,1,0,82923.88976707535,1
118,28,Female,5,93316.5407976227,2,1,1,124386.33944019728,0
119,51,Male,4,80724.0425337366,1,0,0,88142.7492561986,1
120,47,Female,3,21796.06033263636,3,1,0,61211.86163481976,1
121,47,Male,5,87460.48124560819,2,1,0,100674.23470600363,1
122,30,Male,6,46422.88715530566,2,1,0,48751.11742013493,1
123,54,Male,4,72691.17007878594,1,1,1,135782.31207543798,1
124,25,Male,2,89645.3853323651,3,0,0,132714.24823174425,1
125,45,Female,1,66200.16448845225,1,1,0,143144.4649443829,1
126,61,Female,1,95627.58416317322,1,1,1,55322.126964364434,1
127,30,Male,1,67070.21976595103,2,0,0,99752.39059248992,1
128,34,Female,2,62578.392496479406,1,0,1,188666.49919895036,1
129,40,Female,2,70188.15477240535,1,1,1,47918.90157656958,1
130,34,Male,3,25238.962907486602,2,0,1,81059.36186750646,0
131,24,Female,5,45916.07914050193,1,0,0,98738.25473174138,1
132,40,Male,4,28576.150183086058,1,1,0,80324.64486595694,1
133,29,Female,2,46436.67773276809,2,1,0,82267.88995112968,1
134,44,Male,4,58994.155550226846,1,1,0,85160.63387088937,1
135,30,Female,3,47057.436010266625,2,1,0,45863.438731166905,1
136,55,Male,1,47124.70340353611,3,0,0,56605.381994054944,0
137,32,Female,2,22870.190581770825,2,0,0,77422.66228227978,1
138,36,Female,1,39509.187885113075,2,1,0,20000.0,1
139,48,Male,3,83362.7744540063,1,0,0,55732.881764073914,1
140,27,Male,4,38861.197005460475,1,1,0,100523.72376395688,1
141,42,Male,7,43108.94309887138,1,0,0,79627.06540390827,1
142,53,Female,4,54664.626870897366,1,1,0,61849.554219418394,1
143,23,Male,2,57423.50043755151,1,1,1,92306.3165910824,0
144,41,Female,2,47262.575533564726,2,1,1,88606.27935742207,1
145,42,Male,3,22082.55900389524,1,0,0,124299.3732237141,1
146,47,Male,3,60817.14985794791,3,1,0,107750.66556660042,1
147,27,Male,1,88412.32687722202,2,1,1,92788.80155851934,0
148,26,Male,3,86715.21237854767,1,1,1,56765.37213769135,0
149,45,Female,3,35650.49948907943,3,1,0,92599.15338617496,1
150,42,Female,3,58045.41695508012,3,1,0,24589.487179309668,0
151,42,Male,3,100596.22849830345,3,1,0,179580.4903979617,0
152,43,Female,3,49925.66775945512,2,0,0,36618.33333370714,1
153,33,Male,5,55094.36146047501,2,1,1,102916.58406064894,0
154,42,Female,3,20125.941884364962,1,1,0,81200.6066507914,1
155,42,Male,2,70839.83262499444,1,1,1,94919.62087952642,0
156,32,Female,4,55563.356126896026,2,1,0,104147.84987316327,0
157,58,Female,3,32161.94953556921,1,0,1,58231.889571363616,1
158,44,Male,1,63868.5351292598,3,1,0,126214.93805731567,0
159,28,Female,1,69562.32341270697,3,0,0,132917.6039690863,1
160,46,Male,4,36125.69272807896,1,1,0,88958.08741219772,1
161,30,Male,3,16771.947055412522,1,1,0,123366.95337472834,1
162,47,Male,2,52782.16084512753,1,1,0,169555.91182722885,1
163,51,Male,5,63850.27828178308,2,1,1,116148.58706355821,1
164,31,Male,7,55337.604370674904,1,0,1,115330.82395171924,1
165,49,Male,1,73160.94325531971,1,0,0,33445.05591766894,1
166,44,Male,4,15753.631217986469,1,1,0,132828.76754849113,1
167,48,Male,2,29707.706952114717,1,1,1,86848.13470952441,1
168,58,Female,3,54433.56663419379,2,1,1,133334.35355817436,0
169,37,Female,2,18851.582675804304,2,1,1,109133.97550154128,1
170,32,Male,0,34843.012611314254,2,0,0,49673.36984197061,1
171,31,Male,3,39458.54368406077,3,1,1,89266.51733086057,0
172,31,Male,4,70331.93951668634,2,1,0,145127.53667048953,1
173,39,Female,0,76127.4197073632,3,1,0,221709.2125963238,1
174,43,Female,0,64475.61075192129,4,1,1,64102.025490248365,1
175,42,Male,1,87490.3966820862,1,1,0,39509.22176113818,1
176,48,Male,3,77989.54402968743,1,1,1,98490.97945396788,1
177,40,Male,1,65800.27402090652,2,1,1,109939.79575587032,1
178,54,Male,2,65199.82006048151,1,1,0,123082.91137458745,1
179,37,Female,5,38272.22332361717,2,1,0,140229.82190242625,1
180,67,Female,3,22103.21387758837,2,1,0,118050.50824113196,1
181,46,Male,5,35720.360769073246,1,0,0,69319.49361745043,1
182,31,Female,3,66831.56634213339,2,1,1,114300.47632842825,0
183,29,Male,5,43734.26951643179,1,1,0,53174.989187136365,1
184,44,Male,4,62224.07997953291,1,0,1,40538.79519775562,1
185,37,Female,7,13431.334404925656,2,1,0,148422.24626321925,1
186,47,Female,2,60516.273646250076,1,1,1,140630.3379313309,1
187,44,Male,4,32893.36725450803,2,1,0,20000.0,1
188,39,Male,2,35427.138623334526,2,1,0,147628.44776528512,1
189,31,Female,3,83322.80579501783,1,1,0,106046.22063102262,1
190,24,Female,2,93024.36103466051,1,1,1,141421.3784858453,0
191,35,Male,1,28522.459822089833,2,1,1,32552.565348681834,0
192,48,Male,8,45385.18445035866,1,0,0,75132.13750448321,1
193,42,Male,2,47522.100784993025,2,1,0,71798.86253142287,1
194,27,Female,1,64743.97422845664,3,1,1,91350.13418132518,1
195,41,Female,5,40595.00865570562,1,0,0,103727.1933404991,1
196,43,Male,3,33894.63039014064,1,1,1,20000.0,1
197,31,Female,1,55862.12091942886,2,1,0,78157.25314602634,1
198,41,Female,1,51619.38033081972,2,0,0,80045.84147235236,1
199,40,Male,3,67352.99276014892,1,1,0,73826.27705165494,1
200,28,Male,5,36351.79549605307,1,1,1,88004.8624964272,1
201,43,Female,1,45903.19498563076,2,1,1,191254.64778281807,0
202,45,Female,1,65543.75761510068,2,1,0,95364.40663462061,1
203,50,Female,4,48784.19518973156,1,0,0,35844.58115606877,1
204,50,Female,5,16420.26435141357,3,1,1,125794.72807864258,1
205,26,Male,5,82498.51137400304,1,0,1,135407.95921420603,1
206,30,Male,6,48313.41191822609,2,0,0,127471.20354339722,0
207,45,Female,4,48670.224509252366,2,1,1,70487.79957177272,1
208,45,Male,0,100544.9644067622,3,1,0,144756.3846982334,1
209,45,Female,2,92253.57056050462,3,1,0,122701.67339428453,1
210,78,Female,3,68999.56125567843,2,0,0,130657.0968501427,1
211,45,Female,5,28275.378538605015,1,1,1,117979.86125513766,1
212,51,Male,1,77504.29325810896,2,1,0,138736.04313045388,1
213,49,Female,4,14568.530722617506,2,1,0,104131.31536152751,1
214,46,Female,3,52718.74886910495,1,0,0,114743.45266340041,1
215,36,Female,3,40714.12564699692,1,1,0,84394.23342617089,1
216,47,Male,7,35967.70897696929,3,1,0,83534.79578487788,1
217,32,Male,5,54636.688290855294,1,1,0,167188.98633144953,1
218,37,Male,1,62260.53729605759,1,1,1,78764.87508420169,0
219,35,Male,3,65727.24540493623,3,0,1,87501.8146319318,0
220,40,Male,5,48370.60154659657,1,1,0,85275.99330403729,1
221,63,Female,5,45798.9146020977,1,0,1,112244.46612024697,1
222,21,Female,6,67082.56615425184,3,1,1,41462.48743562505,1
223,46,Female,2,67566.80401673415,1,1,1,68059.1617584642,1
224,23,Female,4,52757.86897131342,1,1,0,91227.32476129627,1
225,35,Male,6,32688.254611291606,2,1,0,102866.27378636543,0
226,50,Female,1,16186.126365034987,3,1,0,50811.87976955486,1
227,40,Male,1,63189.572372212984,1,1,0,115962.90547952353,1
228,29,Male,1,69456.09982787739,1,1,1,74328.44942458422,0
229,32,Male,3,45943.34814691204,2,0,0,103771.58084109747,1
230,46,Female,4,57463.42664508856,1,0,0,142240.7745352825,1
231,32,Female,2,76401.54507875943,1,1,0,107377.94830757502,1
232,42,Male,2,90218.74967166789,1,1,0,122427.60648330877,1
233,40,Female,3,42091.434345273636,4,0,0,55603.75711782219,1
